#GID BID CID BiX BiY BiZ iX iY iZ pX pY pZ face
0	2	0	0	0	0	3	3	0	17.5	17.5	16.5	1
1	2	1	0	0	0	3	2	0	17.5	12.5	16.5	1
2	2	2	0	0	0	3	1	0	17.5	7.5	16.5	1
3	2	3	0	0	0	3	0	0	17.5	2.5	16.5	1
4	2	4	0	0	0	2	3	0	12.5	17.5	16.5	1
5	2	5	0	0	0	2	2	0	12.5	12.5	16.5	1
6	2	6	0	0	0	2	1	0	12.5	7.5	16.5	1
7	2	7	0	0	0	2	0	0	12.5	2.5	16.5	1
8	2	8	0	0	0	1	3	0	7.5	17.5	16.5	1
9	2	9	0	0	0	1	2	0	7.5	12.5	16.5	1
10	2	10	0	0	0	1	1	0	7.5	7.5	16.5	1
11	2	11	0	0	0	1	0	0	7.5	2.5	16.5	1
12	2	12	0	0	0	0	3	0	2.5	17.5	16.5	1
13	2	13	0	0	0	0	2	0	2.5	12.5	16.5	1
14	2	14	0	0	0	0	1	0	2.5	7.5	16.5	1
15	2	15	0	0	0	0	0	0	2.5	2.5	16.5	1
16	20	0	0	0	1	3	3	1	17.5	17.5	6.5	1
17	20	1	0	0	1	3	2	1	17.5	12.5	6.5	1
18	20	2	0	0	1	3	1	1	17.5	7.5	6.5	1
19	20	3	0	0	1	3	0	1	17.5	2.5	6.5	1
20	20	4	0	0	1	2	3	1	12.5	17.5	6.5	1
21	20	5	0	0	1	2	2	1	12.5	12.5	6.5	1
22	20	6	0	0	1	2	1	1	12.5	7.5	6.5	1
23	20	7	0	0	1	2	0	1	12.5	2.5	6.5	1
24	20	8	0	0	1	1	3	1	7.5	17.5	6.5	1
25	20	9	0	0	1	1	2	1	7.5	12.5	6.5	1
26	20	10	0	0	1	1	1	1	7.5	7.5	6.5	1
27	20	11	0	0	1	1	0	1	7.5	2.5	6.5	1
28	20	12	0	0	1	0	3	1	2.5	17.5	6.5	1
29	20	13	0	0	1	0	2	1	2.5	12.5	6.5	1
30	20	14	0	0	1	0	1	1	2.5	7.5	6.5	1
31	20	15	0	0	1	0	0	1	2.5	2.5	6.5	1
32	17	0	0	0	2	0	3	2	2.5	17.5	-6.5	-1
33	17	1	0	0	2	0	2	2	2.5	12.5	-6.5	-1
34	17	2	0	0	2	0	1	2	2.5	7.5	-6.5	-1
35	17	3	0	0	2	0	0	2	2.5	2.5	-6.5	-1
36	17	4	0	0	2	1	3	2	7.5	17.5	-6.5	-1
37	17	5	0	0	2	1	2	2	7.5	12.5	-6.5	-1
38	17	6	0	0	2	1	1	2	7.5	7.5	-6.5	-1
39	17	7	0	0	2	1	0	2	7.5	2.5	-6.5	-1
40	17	8	0	0	2	2	3	2	12.5	17.5	-6.5	-1
41	17	9	0	0	2	2	2	2	12.5	12.5	-6.5	-1
42	17	10	0	0	2	2	1	2	12.5	7.5	-6.5	-1
43	17	11	0	0	2	2	0	2	12.5	2.5	-6.5	-1
44	17	12	0	0	2	3	3	2	17.5	17.5	-6.5	-1
45	17	13	0	0	2	3	2	2	17.5	12.5	-6.5	-1
46	17	14	0	0	2	3	1	2	17.5	7.5	-6.5	-1
47	17	15	0	0	2	3	0	2	17.5	2.5	-6.5	-1
48	16	0	0	0	3	0	3	3	2.5	17.5	-16.5	-1
49	16	1	0	0	3	0	2	3	2.5	12.5	-16.5	-1
50	16	2	0	0	3	0	1	3	2.5	7.5	-16.5	-1
51	16	3	0	0	3	0	0	3	2.5	2.5	-16.5	-1
52	16	4	0	0	3	1	3	3	7.5	17.5	-16.5	-1
53	16	5	0	0	3	1	2	3	7.5	12.5	-16.5	-1
54	16	6	0	0	3	1	1	3	7.5	7.5	-16.5	-1
55	16	7	0	0	3	1	0	3	7.5	2.5	-16.5	-1
56	16	8	0	0	3	2	3	3	12.5	17.5	-16.5	-1
57	16	9	0	0	3	2	2	3	12.5	12.5	-16.5	-1
58	16	10	0	0	3	2	1	3	12.5	7.5	-16.5	-1
59	16	11	0	0	3	2	0	3	12.5	2.5	-16.5	-1
60	16	12	0	0	3	3	3	3	17.5	17.5	-16.5	-1
61	16	13	0	0	3	3	2	3	17.5	12.5	-16.5	-1
62	16	14	0	0	3	3	1	3	17.5	7.5	-16.5	-1
63	16	15	0	0	3	3	0	3	17.5	2.5	-16.5	-1
