posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode
0,2_0,4_0,6	7.07E-15	0.196088073	0.98024095	-1.01E-16	0.195921069	0.980448735	0.023696544	16	-1.03E-16	0.199827959	1	11	0x5D8DF5
0,2_0,4_0,7	7.03E-15	0.220065047	0.975223683	-9.97E-17	0.22227426	0.974853111	0.005325456	8	-1.02E-16	0.228007951	2	3	0x772E10
0,2_0,5_0,7	7.02E-15	0.227553693	0.973435003	-9.77E-17	0.232535137	0.972415908	0.011003107	8	-1.00E-16	0.239131359	1	7	0x3E6E6C
0,2_1,3_1,4	0.034018515	0.124266802	0.991404459	0.038938815	0.126900945	0.991012596	0.002726781	28	0.039291947	0.128051799	2	20	0x46269E
0,2_1,3_1,5	0.03391288	0.16362595	0.985606781	0.03875971	0.158351977	0.98644225	0.005582504	21	0.039292427	0.160528381	1	8	0x9D1E9C
0,2_1,3_2,4	0.073544151	0.124266802	0.989341401	0.071083449	0.126681176	0.989299709	0.001298263	24	0.07185229	0.128051363	4	15	0x746209
0,2_1,3_2,5	0.073159844	0.163103315	0.983638361	0.070758923	0.158075704	0.984753539	0.002659035	18	0.071854449	0.160523114	2	5	0x4886AE
0,2_1,4_1,5	0.034015681	0.171629988	0.984316186	0.038689642	0.169186769	0.984687923	0.002657833	21	0.039291273	0.171817654	2	18	0xB2D808
0,2_1,4_1,6	0.033548833	0.196015104	0.979690061	0.038493698	0.195773978	0.979719067	0.011325071	14	0.039290547	0.199826649	1	10	0x01C92D
0,2_1,4_1,7	0.033366665	0.220007464	0.974674232	0.038273331	0.222107366	0.974136423	0.002544811	7	0.039289498	0.228004375	2	1	0x53B6C2
0,2_1,4_2,5	0.073002697	0.171314743	0.982330041	0.070631508	0.168891539	0.983008537	0.001265393	18	0.071852385	0.171810857	4	12	0xFE2284
0,2_1,4_2,6	0.072703618	0.195360384	0.97778	0.070276815	0.195446438	0.978063197	0.005391257	12	0.071853041	0.199830071	2	6	0x58D62C
0,2_1,4_2,7	0.072376776	0.21917376	0.972825652	0.069882189	0.221739133	0.972508314	0.001211829	6	0.071857677	0.228007442	4	9	0x886BB7
0,2_1,5_1,7	0.033382528	0.227553693	0.972869831	0.038179365	0.232364856	0.971703714	0.005258932	7	0.039291159	0.239131386	1	13	0x7811E1
0,2_1,5_2,7	0.072231033	0.227076496	0.97095024	0.069703329	0.231975275	0.970089606	0.002503337	6	0.071852465	0.239127678	2	14	0xC013DC
0,3_-1,5_-1,7	-0.033366665	0.220007464	0.974674232	-0.038273331	0.222107366	0.974136423	0.002544811	7	-0.039289498	0.228004375	2	23	0x27DC4F
0,3_-1,5_-2,7	-0.072376776	0.21917376	0.972825652	-0.069882189	0.221739133	0.972508314	0.001211829	6	-0.071857677	0.228007442	4	37	0x2CD9B1
0,3_0,5_0,7	7.03E-15	0.220065047	0.975223683	-9.59E-17	0.22227426	0.974853111	0.005325456	8	-9.84E-17	0.228007951	2	15	0x746209
0,3_1,5_1,7	0.033366665	0.220007464	0.974674232	0.038273331	0.222107366	0.974136423	0.002544811	7	0.039289498	0.228004375	2	17	0x04C315
