"posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode"
0,0_0,0_0,0	-2.58077E-14	2.63536E-14	0.999646923	-1.72103E-16	6.21968E-08	0.999822306	0.025608488	64	-1.72134E-16	6.22079E-08	1	27	0xE96605
0,0_0,0_0,1	-2.58012E-14	0.025195024	0.999414417	-1.71838E-16	0.028082023	0.999469153	0.005880337	56	-1.71929E-16	0.028096938	2	20	0x830BE0
0,0_0,0_0,-1	-2.58015E-14	-0.025195024	0.999414417	-1.71961E-16	-0.028081957	0.999469155	0.005880221	56	-1.72053E-16	-0.028096872	2	40	0x5059AF
0,0_0,0_1,0	0.025190576	2.57479E-14	0.999414417	0.028081936	6.21535E-08	0.999469155	0.005880278	56	0.028096851	6.21866E-08	2	19	0x2DCC2F
0,0_0,0_-1,0	-0.025190576	2.57479E-14	0.999414417	-0.028081936	6.21535E-08	0.999469155	0.005880278	56	-0.028096851	6.21866E-08	2	42	0xBB82AA
0,0_0,0_1,1	0.025184717	0.025195024	0.999181964	0.028072097	0.028072382	0.999116365	0.00135027	49	0.028096925	0.02809721	4	11	0xCC4719
0,0_0,0_1,-1	0.025184717	-0.025195024	0.999181964	0.028072097	-0.028072315	0.999116367	0.001350243	49	0.028096925	-0.028097143	4	21	0xFB4D17
0,0_0,0_-1,1	-0.025184717	0.025195024	0.999181964	-0.028072097	0.028072382	0.999116365	0.00135027	49	-0.028096925	0.02809721	4	33	0x51AA9D
0,0_0,0_-1,-1	-0.025184717	-0.025195024	0.999181964	-0.028072097	-0.028072315	0.999116367	0.001350243	49	-0.028096925	-0.028097143	4	37	0xED7523
0,0_0,1_0,1	-2.57926E-14	0.033937614	0.999074655	-1.71654E-16	0.039261574	0.999047933	0.012246922	56	-1.71818E-16	0.039298989	1	24	0xA8C2A1
0,0_0,-1_0,-1	-2.57926E-14	-0.033937614	0.999074655	-1.71995E-16	-0.039261445	0.999047938	0.012246585	56	-1.72159E-16	-0.03929886	1	23	0x2A7D81
0,0_0,1_0,2	-2.57392E-14	0.07412514	0.996981015	-1.72394E-16	0.071659863	0.997293226	0.005830965	48	-1.72862E-16	0.071854357	2	15	0x30EEF3
0,0_0,-1_0,-2	-2.5739E-14	-0.07412514	0.996981015	-1.71711E-16	-0.071659797	0.997293231	0.005830672	48	-1.72178E-16	-0.07185429	2	43	0x454264
0,0_0,1_1,1	0.025176155	0.033937614	0.998842281	0.028060156	0.039247472	0.998695617	0.002812146	49	0.028096805	0.039298733	2	3	0xBAA309
0,0_0,1_-1,1	-0.025176155	0.033937614	0.998842281	-0.028060156	0.039247472	0.998695617	0.002812146	49	-0.028096805	0.039298733	2	35	0x28533C
0,0_0,-1_1,-1	0.025176155	-0.033937614	0.998842281	0.028060156	-0.039247343	0.998695622	0.002812068	49	0.028096805	-0.039298603	2	14	0xD7D52B
0,0_0,-1_-1,-1	-0.025176155	-0.033937614	0.998842281	-0.028060156	-0.039247343	0.998695622	0.002812068	49	-0.028096805	-0.039298603	2	46	0x131EB2
0,0_0,1_1,2	0.025123396	0.07412514	0.996749129	0.028011277	0.071634373	0.996942762	0.001338978	42	0.028097177	0.071854048	4	6	0xF2CEA5
0,0_0,1_-1,2	-0.025123396	0.07412514	0.996749129	-0.028011277	0.071634373	0.996942762	0.001338978	42	-0.028097177	0.071854048	4	25	0x0B4160
0,0_0,-1_1,-2	0.025123396	-0.07412514	0.996749129	0.028011277	-0.071634307	0.996942767	0.001338911	42	0.028097177	-0.071853981	4	28	0x9B82A6
0,0_0,-1_-1,-2	-0.025123396	-0.07412514	0.996749129	-0.028011277	-0.071634307	0.996942767	0.001338911	42	-0.028097177	-0.071853981	4	47	0x7AFBF8
0,0_1,0_1,0	0.033931622	2.63688E-14	0.999074655	0.039261609	6.21018E-08	0.999047929	0.012246833	56	0.039299024	6.2161E-08	1	26	0x488250
0,0_-1,0_-1,0	-0.033931622	2.63688E-14	0.999074655	-0.039261609	6.21018E-08	0.999047929	0.012246833	56	-0.039299024	6.2161E-08	1	36	0x289610
0,0_1,0_1,1	0.03392373	0.025195024	0.998842281	0.039247956	0.028060859	0.998695569	0.002812235	49	0.039299219	0.02809751	2	2	0xB1FA2B
0,0_1,0_1,-1	0.03392373	-0.025195024	0.998842281	0.039247956	-0.028060792	0.998695571	0.00281218	49	0.03929922	-0.028097443	2	22	0x2FD42B
0,0_-1,0_-1,1	-0.03392373	0.025195024	0.998842281	-0.039247956	0.028060859	0.998695569	0.002812235	49	-0.039299219	0.02809751	2	31	0xE2C4BB
0,0_-1,0_-1,-1	-0.03392373	-0.025195024	0.998842281	-0.039247956	-0.028060792	0.998695571	0.00281218	49	-0.03929922	-0.028097443	2	32	0xD1B9D2
