#BID	CID	GID	Eff%	Sta	UCL%	UCH%
8	3	115	0.987754929	490	0.045175395	0.012245071
8	4	116	0.974056679	424	0.048564293	0.025943321
8	5	117	0.992462108	398	0.050125471	0.007537892
8	6	118	1	334	0.054717566	0
8	7	119	0.984293209	382	0.051164451	0.015706791
8	8	120	0.989390098	377	0.05150262	0.010609902
8	9	121	0.98666694	450	0.047140452	0.01333306
8	10	122	0.982404584	341	0.054153036	0.017595416
8	11	123	0.995565521	451	0.047088161	0.004434479
8	12	124	0.97668379	386	0.05089866	0.02331621
8	13	125	0.984880851	463	0.046473941	0.015119149
8	14	126	0.973273457	449	0.047192918	0.026726543
8	15	127	0.977924896	453	0.046984099	0.022075104
12	0	176	0.980353743	509	0.044324221	0.019646257
12	1	177	1	435	0.04794633	0
12	2	178	0.977215519	395	0.050315461	0.022784481
12	3	179	0.99383984	487	0.045314325	0.00616016
12	4	180	0.985680203	419	0.048853197	0.014319797
12	5	181	0.985037182	401	0.049937617	0.014962818
12	6	182	0.970930471	344	0.053916387	0.029069529
12	7	183	0.981723467	383	0.051097613	0.018276533
12	8	184	1	373	0.051778037	0
12	9	185	0.993288698	447	0.047298377	0.006711302
12	10	186	0.968207884	346	0.053760333	0.031792116
12	11	187	0.986812974	455	0.046880723	0.013187026
12	12	188	0.981771063	384	0.051031036	0.018228938
12	13	189	0.991304122	460	0.04662524	0.008695878
12	14	190	0.997716781	438	0.047781848	0.002283219
12	15	191	0.993273361	446	0.047351372	0.006726639
16	0	240	0.98893	271	0.0607457	0.0110701
16	1	241	1	204	0.070014	0
16	2	242	0.99435	177	0.0751646	0.00564975
16	3	243	1	236	0.0650945	0
16	4	244	0.996047	253	0.0628695	0.00395256
16	5	245	1	200	0.0707107	0
16	6	246	0.986547	223	0.066965	0.0134529
16	7	247	0.967033	182	0.0741249	0.032967
16	8	248	0.986784	227	0.0663723	0.0132158
16	9	249	0.979253	241	0.0644157	0.0207469
16	10	250	0.984293	191	0.0723575	0.0157068
16	11	251	0.970297	202	0.0703598	0.029703
16	12	252	1	284	0.0593391	0
16	13	253	1	224	0.0668153	0
16	14	254	0.977778	270	0.0608581	0.0222222
16	15	255	1	204	0.070014	0
2	0	16	0.967509	277	0.0600842	0.032491
2	1	17	0.995918	245	0.0638877	0.00408161
2	2	18	0.976744	258	0.0622573	0.0232558
2	3	19	1	236	0.0650945	0
2	4	20	1	260	0.0620174	0
2	5	21	1	212	0.0686803	0
2	6	22	1	264	0.0615457	0
2	7	23	0.970297	202	0.0703598	0.029703
2	8	24	1	196	0.0714286	0
2	9	25	0.987654	243	0.06415	0.0123457
2	10	26	0.974359	234	0.065372	0.025641
2	11	27	1	200	0.0707107	0
2	12	28	1	244	0.0640184	0
2	13	29	1	252	0.0629941	0
2	14	30	1	264	0.0615457	0
2	15	31	0.987854	247	0.0636285	0.0121458
6	0	80	0.990536505	634	0.039715074	0.009463495
6	1	81	0.993839682	487	0.045314325	0.006160318
6	2	82	0.994958188	595	0.040996003	0.005041812
6	3	83	0.995581862	679	0.038376478	0.004418138
6	4	84	0.998449605	645	0.039374962	0.001550395
6	5	85	0.98159535	652	0.039163022	0.01840465
6	6	86	1	596	0.040961596	0
6	7	87	0.977777904	540	0.043033148	0.022222096
6	8	88	0.987654515	567	0.041996053	0.012345485
6	9	89	0.991452735	585	0.041344912	0.008547265
6	10	90	0.991680541	601	0.040790851	0.008319459
6	11	91	0.998368475	613	0.04038962	0.001631525
6	12	92	0.980645147	620	0.040160966	0.019354853
6	13	93	0.98956782	671	0.038604572	0.01043218
6	14	94	0.974446296	587	0.041274417	0.025553704
6	15	95	0.993548226	620	0.040160966	0.006451774
10	0	144	0.984325763	638	0.039590379	0.015674237
10	1	145	0.958415396	505	0.044499416	0.041584604
10	2	146	0.988313698	599	0.040858892	0.011686302
10	3	147	0.986860985	685	0.038208036	0.013139015
