#BID	CID	GID	Eff%	Sta	UCL%	UCH%
3	0	32	0.938053	226	0.066519	0.0619469
3	1	33	0.972222	288	0.0589256	0.0277778
3	2	34	0.965517	261	0.0618984	0.0344828
3	3	35	0.946996	283	0.0594438	0.0530035
3	4	36	0.953947	304	0.0573539	0.0460526
3	5	37	0.996047	253	0.0628695	0.00395256
3	6	38	0.922078	308	0.0569803	0.0569803
3	7	39	1	252	0.0629941	0
3	8	40	0.986254	291	0.058621	0.0137457
3	9	41	0.985294	272	0.0606339	0.0147059
3	10	42	0.963211	299	0.0578315	0.0367893
3	11	43	0.967742	248	0.0635001	0.0322581
3	12	44	0.974359	234	0.065372	0.025641
3	13	45	0.971429	280	0.0597614	0.0285714
3	14	46	0.957143	210	0.0690066	0.0428572
3	15	47	0.959276	221	0.0672673	0.040724
7	0	96	0.956302521	595	0.040996003	0.040996003
7	1	97	0.959435205	567	0.041996053	0.040564795
7	2	98	0.979032085	620	0.040160966	0.020967915
7	3	99	0.974074215	540	0.043033148	0.025925785
7	4	100	0.961367238	673	0.038547167	0.038547167
7	5	101	0.981605421	598	0.040893041	0.018394579
7	6	102	0.979687519	640	0.039528471	0.020312481
7	7	103	0.947454814	609	0.040522045	0.040522045
7	8	104	0.946523868	561	0.042220033	0.042220033
7	9	105	0.965403405	607	0.040588748	0.034596595
7	10	106	0.977309616	617	0.040258484	0.022690384
7	11	107	0.975369282	609	0.040522045	0.024630718
7	12	108	0.973553618	605	0.040655781	0.026446382
7	13	109	0.960486377	658	0.038984059	0.038984059
7	14	110	0.93310429	583	0.041415768	0.041415768
7	15	111	0.96044344	632	0.039777864	0.03955656
11	0	160	0.962775093	591	0.041134503	0.037224907
11	1	161	0.980180182	555	0.042447636	0.019819818
11	2	162	0.97275616	624	0.040032038	0.02724384
11	3	163	0.947748207	555	0.042447636	0.042447636
11	4	164	0.952871758	679	0.038376478	0.038376478
11	5	165	0.963875187	609	0.040522045	0.036124813
11	6	166	0.96018372	653	0.039133024	0.039133024
11	7	167	0.974661861	592	0.041099747	0.025338139
11	8	168	0.979705009	542	0.042953678	0.020294991
11	9	169	0.971807468	603	0.040723148	0.028192532
11	10	170	0.964799781	625	0.04	0.035200219
11	11	171	0.954984042	622	0.040096347	0.040096347
11	12	172	0.957723538	615	0.040323892	0.040323892
11	13	173	0.967840839	653	0.039133024	0.032159161
11	14	174	0.97491069	558	0.042333376	0.02508931
11	15	175	0.972756303	624	0.040032038	0.027243697
15	0	224	0.942222	225	0.0666667	0.0577778
15	1	225	0.979021	286	0.0591312	0.020979
15	2	226	0.926471	272	0.0606339	0.0606339
15	3	227	0.940351	285	0.0592349	0.0592349
15	4	228	0.963455	301	0.057639	0.0365449
15	5	229	0.976744	258	0.0622573	0.0232558
15	6	230	0.97931	290	0.058722	0.0206897
15	7	231	0.961832	262	0.0617802	0.038168
15	8	232	0.963087	298	0.0579284	0.0369127
15	9	233	0.978102	274	0.0604122	0.0218978
15	10	234	0.99654	289	0.0588235	0.00346023
15	11	235	0.956175	251	0.0631194	0.0438247
15	12	236	0.946058	241	0.0644157	0.0539419
15	13	237	0.951049	286	0.0591312	0.048951
15	14	238	0.961722	209	0.0691714	0.0382775
15	15	239	0.990654	214	0.0683586	0.00934577
1	0	0	0.92827	237	0.064957	0.064957
1	1	1	0.943662	284	0.0593391	0.056338
1	2	2	0.980132	302	0.0575435	0.0198675
1	3	3	0.959276	221	0.0672673	0.040724
1	4	4	0.978339	277	0.0600842	0.0216606
1	5	5	0.96063	254	0.0627456	0.0393701
1	6	6	0.977444	266	0.0613139	0.0225564
1	7	7	0.986301	219	0.0675737	0.0136986
1	8	8	0.965686	204	0.070014	0.0343137
1	9	9	0.955017	289	0.0588235	0.0449827
1	10	10	0.96063	254	0.0627456	0.0393701
1	11	11	0.989547	287	0.0590281	0.010453
1	12	12	0.977778	270	0.0608581	0.0222222
1	13	13	0.979592	245	0.0638877	0.0204082
1	14	14	1	196	0.0714286	0
1	15	15	0.960265	302	0.0575435	0.0397351
5	0	64	0.972826109	736	0.036860489	0.027173891
5	1	65	0.951379767	761	0.036249972	0.036249972
5	2	66	0.970814226	651	0.03919309	0.029185774
5	3	67	0.970663143	784	0.035714286	0.029336857
5	4	68	0.971910228	712	0.037476584	0.028089772
5	5	69	0.968253576	693	0.037986859	0.031746424
5	6	70	0.953301048	621	0.040128618	0.040128618
5	7	71	0.941915648	637	0.039621443	0.039621443
5	8	72	0.975342548	730	0.037011661	0.024657452
5	9	73	0.958778631	655	0.039073233	0.039073233
5	10	74	0.974504559	706	0.037635496	0.025495441
5	11	75	0.984894118	662	0.038866104	0.015105882
5	12	76	0.967441919	645	0.039374962	0.032558081
5	13	77	0.979057974	764	0.03617873	0.020942026
5	14	78	0.953424322	730	0.037011661	0.037011661
5	15	79	0.966417923	804	0.035267281	0.033582077
9	0	128	0.968876589	739	0.036785595	0.031123411
